parrafo|site|subtitle|title
The 2018 Comic Exhibition took place in Tapei last week and among the various toys and collectibles on offer were a selection of figurines based on SNK's King of Fighters series.Iori Yagami, Kyo Kusanagi and the always-welcome Mai Shiranui are the three characters who have been immortalised in 1/8 and 1/6 scale figures by manufacturer Gantaku. All the figurines on display feature colourful, translucent flame effects and feature the veteran characters dynamically posing in their classic outfits.Also on display was the prototype of a a two figure diorama, featuring longtime foes Iori and Kyo going head-to head in battle, wearing their modern outfits from the excellent King of Fighters XIV. The models are available for pre-order now from various outlets. Classic Kyo and Iori will retail for around $160 each, but the 1/6 Mai statue is limited to a run of 1500 and will set you back a much heftier $550. Yikes.The King of Fighters XIV is available now on PS4 and PC.|https://www.destructoid.com/|No Leona love...|Gantaku's King of Fighters XIV figurine range includes Kyo, Iori and Mai Shiranui
World of Warcraft might not have the same cultural cache it once had in an era filled with multi-million player free-to-play MMOs, but at this point it's most definitely an institution.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
The fact is, Blizzard has maintained the project for nearly 14 years with a subscription-based service. All around them they saw the vast majority of their competition move to free-to-play, yet they remained steadfast. Its seventh expansion promises to get back to basics in a sense, but it's also indicative of where it could go from here.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
World of Warcraft: Battle for Azeroth (PC)Developer: BlizzardPublisher: BlizzardReleased: August 14, 2018MSRP: $49.99|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
"Some people see the all out war narrative shift in World of Warcraft: Battle for Azeroth to be reductive, especially after the ""both sides working together"" concept was going somewhere, but I'm not so sure about that. While the Orcs vs. Humans angle is trumped up to a silly degree, particularly for advertisement's sake, I do actually see it going somewhere and I envision a future where I'm looking back at the events of this expansion wistfully."|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
A lot of major characters have died to get here, and quite a few big names are involved in the events of the story that's unraveling right now. Based on my experience so far I'm hopeful that it'll justify its existence, though I'm not as immediately as enamored as I was with Legion. Part of that is because I was so attached to the idea of fighting the Burning Legion once and for all and playing my ideal class -- Demon Hunter. But it also just felt more pressing from the start, whereas Battle is more of a slower ramping up.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
Even still Blizzard is bringing all the tricks of the trade that they've learned to date and have once again nailed the solo experience. Beginning with my Horde Blood Elf Demon Hunter I found myself in a mess of a prison break in Stormwind, which played out like a miniature dungeon to the tune of a heist-focused action movie. Eventually that focus is widened, coupled by numerous cutscenes that help alleviate the questing process.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
Battle sees both sides sailing across various [new] bits of Azeroth in search of allies, which takes both the Alliance and Horde to new lore-heavy locales -- Kul Tiras (homeland of Jaina) for the former and Zandalar, troll land, for the latter. Because of the mystery surrounding these places it allows for Blizzard to get a little creative with them, with plenty of out-there concepts like dinosaurs and pirates.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
Seeing as this is the crux of Battle's new content it's very important that it shines, and currently I'm at odds with it. We've seen many of the same themes (pirates and dinosaurs were even in Vanilla WoW), but the slight differences like non-Naga snake men (Sethrak) on top of the Naga, with their own stories differentiate it enough from what Blizzard has done in the past. The new worlds are also some of Blizzard's best, most detailed work yet -- some of the best in the entire MMO sphere actually. The Necropolis at Zandalar is a sight to behold in photos, but even more awe-inspiring in motion, and the music is worthy of being a part of any film score. It does kindle the desire to do it all twice: once more with one of my Alliance characters (despite some crisscrossing). I haven't felt like that about an expansion in a long while.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
"On the less emotional side the Artifact weapon system has been reworked into an amulet called ""The Heart of Azeroth."" This is basically your ""leveling beyond the cap"" doodad, and is a little more manageable given that amulets/accessories have always had a less exciting feel to them when they drop. It links up with armor to provide new abilities, and right now it's not in the way at all or super important; so expect more thoughts later down the line."|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
Blizzard seems to finally have figured out a way to appease fans who both adore and oppose world PVP. Me? I think they could have allowed free transfers off of world PVP servers for people who didn't realize what they signed up for -- a thriving world PVP system on marked servers helped make World of Warcraft that much more exciting -- but maybe that's too big an ask. Now in Battle for Azeroth you can head to either Stormwind or Orgrimmar (Alliance or Horde respectively) to toggle world PVP, which increases quest rewards/experience by 10% and unlocks PVP talents to use out in the wild.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
The result, especially during the leveling stages (the best time to world PVP) is that a lot of folks aren't playing with it enabled. And why would they? Now is the time when people are taking off work and trying to level their character for endgame: not get caught up in dust-ups. I turned it on before the expansion even hit (in part so I could write about it, in part because I'm such an old guard guy) and I'm basically coming across crickets. It's such a non-issue that you can even bury the PVP talent and toggle section entirely by pressing an arrow and forget it exists forever. I'm anxious to see if that changes as time goes on.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
As I've already expressed I'm not sure how I feel about Battle for Azeroth yet. In some ways it's a step down from Legion but after all these years I'm still excited to play World of Warcraft, so it's doing its job. This assessment is based on three weeks of messing around with the pre-patch features and a heap of expansion play (both prior betas and the live version), but I haven't scratched the surface yet. Stay tuned for a future full review of World of Warcraft: Battle for Azeroth after I reach the level cap and play around with its endgame.|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
[This review is based on a retail build of the game provided by the publisher. Currently I'm level 115, halfway to the new 120 cap.]|https://www.destructoid.com/|Orcs vs. Humans|Review in Progress: World of Warcraft: Battle for Azeroth
I have a nephew who, in two weeks time, will be starting his freshman year in high school. The thought of that makes me feel fucking old but it also gets me thinking about my time in school. I loved school, going to class and hitting the books. The only problem was there were always other people around. People are the worst and high schoolers are the worst of the worst. I wish my nephew luck. These are about to be the most awkward years of his life. We all know that from our own experiences and the many, many video games that have been released over the years set in a high school. |https://www.destructoid.com/|You can't all say the one from Gal*Gun|It's back to school season and we want to know which video game school you'd attend
